Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,95,25,4,1,RRFIN.BO
2,Cable/Satellite Tv,Consumer Services,92,18,86,92,NDLVENTURE.NS
3,Computer Communications,Electronic Technology,85,94,75,80,KERNEX.NS
4,Precious Metals,Non-Energy Minerals,79,1,27,97,"MIDWEST.BO,DECNGOLD.NS"
5,Biotechnology,Health Technology,75,53,82,76,"TITANBIO.BO,RUBICON.NS,ANL.BO,HALEOSLABS.NS,AKUMS.NS,ANTHEM.NS,FERMENTA.NS,FABTECH.NS"
6,Beverages: Non-Alcoholic,Consumer Non-Durables,71,43,50,81,"VALENCIA.BO,ORIBEVER.BO,VBL.NS"
7,Real Estate Investment Trusts,Finance,70,25,48,73,"FUNDVISER.BO,ANNAINFRA.BO,INDUSINVIT.BO,MINDSPACE.BO,KRT.BO,NXST.BO,EMBASSY.BO,BIRET.BO"
8,Drugstore Chains,Retail Trade,70,20,67,82,MEDPLUS.NS
9,Alternative Power Generation,Utilities,70,64,74,59,"UEL.NS,SUGSLLOYD.BO,CLEANMAX.NS,POWERGRID.NS,NTPCGREEN.NS,INOXGREEN.NS,RELTD.NS,WAAREERTL.NS,KPIGREEN.NS,KPEL.NS"
10,Electrical Products,Producer Manufacturing,67,69,74,61,"HIIL.BO,MODINSU.BO,BHAGYANGR.NS,QPOWER.NS,PRECWIRE.NS,ATLANTAELE.NS,TDPOWERSYS.NS,YASHHV.BO,GVTD.BO,GVT&D.NS,KSHINTL.NS,KIRLOSENG.NS,CYBELEIND.BO,INDOTECH.NS,COSPOWER.BO,VOLTAMP.NS,HIRECT.NS,RISHABH.NS,BHEL.NS,RAMRAT.NS,ADVAIT.NS,INDOSMC.BO,SHILCTECH.NS,RNITAI.BO,ABB.NS,SWITCHTE.BO,KEI.NS,CGPOWER.NS,ENRIN.NS,SIEMENS.NS,RMC.NS,RRKABEL.NS,S&SPOWER.NS,POWERICA.NS,KECL.NS,FINCABLES.NS,DIACABS.NS,POLYCAB.NS,LGBBROSLTD.NS,JDCABLES.BO,ESABINDIA.NS,HBLENGINE.NS,ACCORDTS.BO,BBL.NS,DYCL.NS,ALFATRAN.BO,MARSONS.NS,STARDELTA.BO,STDBAT.BO,BONLON.NS,HIGHENE.BO,SWELECTES.NS,ELECON.NS,SERVOTECH.NS,BIRLACABLE.NS,SUZLON.NS,CORDSCABLE.NS,CLN.BO,JIGAR.BO,DEL.BO,HONDAPOWER.NS,PROSTARM.NS,LAKSELEC.BO,VETO.NS,PANCARBON.BO,PARACABLES.NS,DCXINDIA.NS,TARIL.NS,KAYCEEI.BO,EVEREADY.NS,FOCUS.NS,JYOTI.BO,VGUARD.NS,ARE&M.NS,EPIC.BO,WSI.NS,SALZERELEC.NS,EXICOM.NS,PLAZACABLE.NS,RTSPOWR.BO,HAVELLS.NS,IKIO.NS,QUADFUTURE.NS,PANAENERG.BO,CALCOM.BO,JSLINDL.BO,INOXWIND.NS,NIPPOBATRY.NS,DLTNCBL.BO,URAVIDEF.NS"
11,Aerospace & Defense,Electronic Technology,65,73,69,61,"MTARTECH.NS,IDEAFORGE.NS,AEQUS.NS,KRISHNADEF.NS,PARAS.NS,BEL.NS,SIKA.NS,TANAA.BO,ROSSELLIND.NS,HAL.NS,BDL.NS,DRONACHRYA.BO"
12,Electronic Equipment/Instruments,Electronic Technology,64,51,59,60,"POWERINDIA.NS,CNCRD.BO,WAAREEINDO.NS,APARINDS.NS,APLABPP.BO,APLAB.BO,DIGILOGIC.BO,NAGPI.BO,DENORA.NS,TVSELECT.NS,GENUSPOWER.NS,NITIRAJ.NS,SHRADDHA.BO,JGTL.BO,HINDHARD.BO,HONAUT.NS,HPL.NS,SPECTRUM.NS,WEL.NS"
13,Computer Peripherals,Electronic Technology,64,51,58,52,"NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
14,Integrated Oil,Energy Minerals,64,69,64,73,"ANTELOPUS.NS,IRMENERGY.NS,GNRL.NS,HINDOILEXP.NS,IOC.NS"
15,Marine Shipping,Transportation,63,57,56,65,"GESHIP.NS,COASTCORP.NS,DREDGECORP.NS,PPARIVAH.BO,GPPL.NS,GLOTTIS.NS,TRANSWORLD.NS"
16,Semiconductors,Electronic Technology,63,65,76,37,"INA.NS,UTLSOLAR.NS,EMMVEE.NS,GRERENEW.BO,PREMIERENE.NS,STERPOW.BO,SPELS.BO,MOSCHIP.NS,WEBELSOLAR.NS,WAAREEENER.NS,ADTECH.BO,METSL.BO,HIGHNESS.BO,SOLARIUM.BO,VIKRAMSOLR.NS,RIR.BO"
17,Electric Utilities,Utilities,62,61,72,64,"ADANIPOWER.NS,SGMART.NS,ADANIENSOL.NS,ADANIGREEN.NS,TORNTPOWER.NS,NLCINDIA.NS,PTC.NS,NAVA.NS,TATAPOWER.NS,CESC.NS,NTPC.NS,JSWENERGY.NS,KARMAENG.NS,NHPC.NS,WAA.BO,OMPOWER.NS,TEXINFRA.NS,GIPCL.NS,SJVN.NS,GITARENEW.BO,EKI.BO,PACEDIGITK.NS,SWANCORP.NS,RPOWER.NS"
18,Motor Vehicles,Consumer Durables,62,37,45,57,"ZELIO.BO,ATHERENERG.NS,FORCEMOT.NS,SMLMAH.NS,EICHERMOT.NS,TMCV.NS,ATULAUTO.NS,TVSMOTOR.NS,OLECTRA.NS,HEROMOTOCO.NS,SANDHAR.NS,ATLASCYCLE.NS,SEVL.BO,MARUTI.NS,M&M.NS,TMPV.NS,OLAELEC.NS,HYUNDAI.NS"
